tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,clean_tweets
@Jim_Howard_13 @RepAndyBiggsAZ @RandPaul just go drink #clorox,1.2603385635032635e+18,corporationsgonewild 🌊,any town USA,,2020-05-12,1.0,,,Twitter Web App,jim howard repandybiggsaz randpaul go drink clorox
Latest study of #Trump's proposed #COVID19 drug #hydroxychloroquine proves it's a dangerous flop--causes heart prob… https://t.co/YAalIMgEG0,1.2603342667324785e+18,Darius,"Berkeley, CA",,2020-05-12,0.0,,,Twitter for Android,latest study trump proposed covid drug hydroxychloroquine proves dangerous flop causes heart prob https co yaalimgeg
"Restock!!

Clorox Fraganzia Multi-Purpose Cleaner, Forest Dew, 175 Ounces 

Starting at $14.52… https://t.co/VknAtmUxZv",1.2603221767224402e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App,restock clorox fraganzia multi purpose cleaner forest dew ounces starting https co vknatmuxzv
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2603163113614828e+18,jeaned62803,,,2020-05-12,0.0,,,Twitter for iPhone,rt abc searching high low clorox disinfecting wipes company running plants hours day days week
"😊
[...] Alec #Baldwin returns as President #Trump drinking #Clorox in 'SNL' opener [...]
https://t.co/SthqTzmbd6",1.26031458828279e+18,Desnot,Paris Bastille ,,2020-05-12,0.0,,,Twitter Web App,alec baldwin returns president trump drinking clorox snl opener https co sthqtzmbd
"Go drink some #Clorox... your breath stinks
#TrumpIsALoser 
#TrumpIsALaughingStock 
#WorstPresidentInHistory… https://t.co/M4meA66LNi",1.2603078990473912e+18,Tracy,,,2020-05-12,0.0,,,Twitter Web App,go drink clorox breath stinks trumpisaloser trumpisalaughingstock worstpresidentinhistory https co mea lni
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602994163736123e+18,nancii,Where ever I want to be ,,2020-05-12,0.0,,,Echofon,rt abc searching high low clorox disinfecting wipes company running plants hours day days week
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602903121334682e+18,guccigoogirl,Los Angeles/Hawaii,,2020-05-12,0.0,,,Twitter for iPhone,rt abc searching high low clorox disinfecting wipes company running plants hours day days week
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.260263407392981e+18,Victoria MacDonald,"California, USA",,2020-05-12,0.0,,,Twitter for iPhone,rt abc searching high low clorox disinfecting wipes company running plants hours day days week
"Restock!! 

Clorox 4 in 1 Disinfectant Sanitizer

Starting at $7.19

*location based and may not be available to al… https://t.co/Vxp18OAej3",1.260262644436648e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,1.0,,,Twitter Web App,restock clorox disinfectant sanitizer starting location based may available al https co vxp oaej
