,tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,gps
37,"I have searched from Knoxville to Ooltewah to Chattanooga &amp; Calhoun, GA until I finally locate Clorox disinfecting… https://t.co/FHeW1vWDad",1.2602037051247534e+18,Wendy King 🇺🇸😀🍊,"Chattanooga, TN","{'type': 'Point', 'coordinates': [-85.68161077, 35.04049246]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [35.04049246, -85.68161077]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='76660faa26ab13ad', url='https://api.twitter.com/1.1/geo/id/76660faa26ab13ad.json', place_type='city', name='Kimball', full_name='Kimball, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-85.6907012, 35.038257], [-85.629334, 35.038257], [-85.629334, 35.064056], [-85.6907012, 35.064056]]]), attributes={})",Instagram,"[35.0511565, -85.6600176]"
39,@7104child @off_person @danielchaitin7 @dcexaminer #TrumpCorruption 💉 #Clorox 💉 https://t.co/0AccHxT7I3,1.2602032140722135e+18,Chairman You,"Los Angeles, CA",,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for Android,"[34.0207895, -118.4119065]"
41,"@jamesin22677333 @danielchaitin7 @dcexaminer LOVE THE CAPS, JAMES! IT'S AN INCREDIBLE THING! 😷 #TrumpIsALoser 🤏 #Clorox 💉",1.2602024502810993e+18,Chairman You,"Los Angeles, CA",,2020-05-12,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for Android,"[34.0207895, -118.4119065]"
102,De esta pandemia salimos todos vestidos de #batik . Cuánta ropa mancharon ya con Agua Jane? #lavandina #clorox #COVID19,1.259553251965444e+18,Florencia Cornu Laport,"Weston , Fl",,2020-05-10,5.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='88a21205dd4728ea', url='https://api.twitter.com/1.1/geo/id/88a21205dd4728ea.json', place_type='city', name='Weston', full_name='Weston, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.4420236, 26.0620314], [-80.361426, 26.0620314], [-80.361426, 26.1446927], [-80.4420236, 26.1446927]]]), attributes={})",Twitter for Android,"[26.10336205, -80.4017248]"
136,This! ⬇️⬇️⬇️ #MAGA #MAGA2020 #clorox #alternateuniverse #ClassOfCovid19 https://t.co/BHGolSulOn,1.2593267307891016e+18,Paola Jordan,"Manhattan, NY",,2020-05-10,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",Twitter for iPhone,"[40.780709, -73.9685415]"
138,"@nbcsnl is killing tonigh!! My gosh, so surreal seeing #MAGA drinkig from a bottle of #Clorox",1.2593258421965005e+18,Paola Jordan,"Manhattan, NY",,2020-05-10,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",Twitter for iPhone,"[40.780709, -73.9685415]"
207,True but you can’t deny the fact that @realDonaldTrump all by himself found the #Clorox cure to #COVID19… https://t.co/pV4xSTGR19,1.2588620556641894e+18,Real Facts NO BS,United States,,2020-05-08,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for iPhone,"[34.0207895, -118.4119065]"
239,We only get a few here and there but we like to keep you posted ❤️ #neighborhood #lysol #clorox #acethehelpfulplace… https://t.co/GJLBC68yKP,1.258488992082903e+18,Kendalls Hardware,"St. Paul, MN","{'type': 'Point', 'coordinates': [-93.07325315, 44.96629517]}",2020-05-07,0.0,"{'type': 'Point', 'coordinates': [44.96629517, -93.07325315]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='60e2c37980197297', url='https://api.twitter.com/1.1/geo/id/60e2c37980197297.json', place_type='city', name='St Paul', full_name='St Paul, MN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-93.207783, 44.8907521], [-93.003514, 44.8907521], [-93.003514, 44.992279], [-93.207783, 44.992279]]]), attributes={})",Instagram,"[44.94151555, -93.1056485]"
304,"The dude told DOCTORS to “look into injecting #Clorox” and he STILL has the support of 41% of the people?!
THAT is… https://t.co/JdiYGGdA43",1.2582716693212078e+18,Russell Arch,"Los Angeles, CA",,2020-05-07,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for iPhone,"[34.0207895, -118.4119065]"
327,"The only #bleach you should ingest!!!
#clorox #cloroxbleach #cloroxcake #cloroxbleachcake #ingestiblebleach https://t.co/yQXuyC9Iok",1.2580807033943204e+18,Cake On Heels,"South Amboy, NJ",,2020-05-06,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='70f8f5f2ad7e0722', url='https://api.twitter.com/1.1/geo/id/70f8f5f2ad7e0722.json', place_type='city', name='Keansburg', full_name='Keansburg, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.147592, 40.435309], [-74.11593, 40.435309], [-74.11593, 40.459534], [-74.147592, 40.459534]]]), attributes={})",Twitter for Android,"[40.4474215, -74.13176100000001]"
358,@Davidlaz I'm nursing my lucky bottle of #Clorox https://t.co/qHnSHvNflR,1.2579415319330447e+18,Chairman You,"Los Angeles, CA",,2020-05-06,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for Android,"[34.0207895, -118.4119065]"
418,Hangout with my best friends🙂 #Lysol #Clorox #Purell #love #TFLers #tweegram #photooftheday #20likes #amazing… https://t.co/kbdXUGfamk,1.257333901007237e+18,St-Onge Jean,"Shawinigan, Québec","{'type': 'Point', 'coordinates': [-72.7519499, 46.5425899]}",2020-05-04,1.0,"{'type': 'Point', 'coordinates': [46.5425899, -72.7519499]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='1fc8becad13c38e6', url='https://api.twitter.com/1.1/geo/id/1fc8becad13c38e6.json', place_type='city', name='Shawinigan', full_name='Shawinigan, Québec', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-73.178515, 46.460485], [-72.583419, 46.460485], [-72.583419, 46.91923], [-73.178515, 46.91923]]]), attributes={})",Instagram,"[46.689857499999995, -72.880967]"
